agent_id,case,domain,candidate_id,hypothesis,shared_structure,method_signature,verilog_path,aig_path,log_path,evaluate_log,official_status,equivalent,area,delay,adp,reference_adp,beats_reference,notes,shard_csv,current_frontend_adp,beats_current_frontend,runtime_sec,variant,synthesized,frontend_baseline_adp,improves_frontend,synth_runtime_sec,eval_runtime_sec,status,evaluate_status,output_dir
,ex223,,ex223_r74_nested_low10_hi7_abc_g_aig,,,ex223|fp16_log_r74_low10_nested_cut|low10_hi7_nested_lut|shared_special_decode_plus_highbit_runs|yosys_abc_g_aig|abc_xf_official_evaluate|not_round73_segword_or_wordrun,,,,student/work/frontend_source_parallel_round74_20260613_1439/sub-fp16-r74/ex223/official_eval/ex223_r74_nested_low10_hi7_abc_g_aig/ex223_r74_nested_low10_hi7_abc_g_aig.evaluate.py.log,OK,,13049,18,234882,120549,0,,student/frontend_campaigns/campaigns/frontend_source_parallel_round74_20260613_1439/agent_shards/sub-fp16-r74/evaluation_results.csv,203756,0,18.866,,,,,,,,,
,ex223,,ex223_r74_flat_low10_hi_runs_abc_g_aig,,,ex223|fp16_log_r74_flat_low10_table|flat_low10_plus_highbit_runs|shared_special_decode_no_nested_low_lut|yosys_abc_g_aig|abc_xf_official_evaluate|not_round73_segword_or_wordrun,,,,student/work/frontend_source_parallel_round74_20260613_1439/sub-fp16-r74/ex223/official_eval/ex223_r74_flat_low10_hi_runs_abc_g_aig/ex223_r74_flat_low10_hi_runs_abc_g_aig.evaluate.py.log,OK,,11158,22,245476,120549,0,,student/frontend_campaigns/campaigns/frontend_source_parallel_round74_20260613_1439/agent_shards/sub-fp16-r74/evaluation_results.csv,203756,0,14.327,,,,,,,,,
,ex225,,ex225_r74_nested_low10_hi7_abc_g_aig,,,ex225|fp16_log10_r74_low10_nested_cut|low10_hi7_nested_lut|shared_special_decode_plus_highbit_runs|yosys_abc_g_aig|abc_xf_official_evaluate|not_round73_segword_or_wordrun,,,,student/work/frontend_source_parallel_round74_20260613_1439/sub-fp16-r74/ex225/official_eval/ex225_r74_nested_low10_hi7_abc_g_aig/ex225_r74_nested_low10_hi7_abc_g_aig.evaluate.py.log,OK,,14599,18,262782,116676,0,,student/frontend_campaigns/campaigns/frontend_source_parallel_round74_20260613_1439/agent_shards/sub-fp16-r74/evaluation_results.csv,218728,0,20.088,,,,,,,,,
,ex225,,ex225_r74_flat_low10_hi_runs_abc_g_aig,,,ex225|fp16_log10_r74_flat_low10_table|flat_low10_plus_highbit_runs|shared_special_decode_no_nested_low_lut|yosys_abc_g_aig|abc_xf_official_evaluate|not_round73_segword_or_wordrun,,,,student/work/frontend_source_parallel_round74_20260613_1439/sub-fp16-r74/ex225/official_eval/ex225_r74_flat_low10_hi_runs_abc_g_aig/ex225_r74_flat_low10_hi_runs_abc_g_aig.evaluate.py.log,OK,,11418,22,251196,116676,0,,student/frontend_campaigns/campaigns/frontend_source_parallel_round74_20260613_1439/agent_shards/sub-fp16-r74/evaluation_results.csv,218728,0,13.478,,,,,,,,,
,ex238,,ex238_r74_core_boundary_low13_hi5_synth_preset,,,ex238|fp16_reciprocal_cube_boundary_alt|boundary_low13_hi5|semantic_core_plus_boundary_table|yosys_synth_preset|abc_xf_official_evaluate|boundary_table_alt_cut,,,,student/work/frontend_source_parallel_round74_20260613_1439/sub-fp16-r74/ex238/official_eval/ex238_r74_core_boundary_low13_hi5_synth_preset/ex238_r74_core_boundary_low13_hi5_synth_preset.evaluate.py.log,OK,,1470,16,23520,16549,0,,student/frontend_campaigns/campaigns/frontend_source_parallel_round74_20260613_1439/agent_shards/sub-fp16-r74/evaluation_results.csv,24848,1,1.693,,,,,,,,,
,ex238,,ex238_r74_core_clamp_hi4_abc_g_aig,,,ex238|fp16_reciprocal_cube_boundary_clamp|core_clamp_hi4|semantic_core_plus_threshold_clamps|yosys_abc_g_aig|abc_xf_official_evaluate|boundary_predicate_no_table,,,,student/work/frontend_source_parallel_round74_20260613_1439/sub-fp16-r74/ex238/official_eval/ex238_r74_core_clamp_hi4_abc_g_aig/ex238_r74_core_clamp_hi4_abc_g_aig.evaluate.py.log,OK,,1467,18,26406,16549,0,,student/frontend_campaigns/campaigns/frontend_source_parallel_round74_20260613_1439/agent_shards/sub-fp16-r74/evaluation_results.csv,24848,0,1.287,,,,,,,,,
sub-fp8-addhyp-r74,ex244,float_fp8,ex244_ex244_field_compare_decode_repo_yosys,,,,student/work/frontend_source_parallel_round74_20260613_1439/sub-fp8-addhyp-r74/ex244/ex244_field_compare_decode/verilog/ex244_field_compare_decode.v,student/work/frontend_source_parallel_round74_20260613_1439/sub-fp8-addhyp-r74/ex244/ex244_field_compare_decode/aigs/ex244_ex244_field_compare_decode_repo_yosys.aig,,student/work/frontend_source_parallel_round74_20260613_1439/sub-fp8-addhyp-r74/ex244/ex244_field_compare_decode/logs/ex244_ex244_field_compare_decode.evaluate.py.log,,1,328,35,11480,,,official evaluate.py OK; yosys_log=student/work/frontend_source_parallel_round74_20260613_1439/sub-fp8-addhyp-r74/ex244/ex244_field_compare_decode/logs/ex244_ex244_field_compare_decode.yosys.log; eval_sec=1.161; total_sec=1.903,student/frontend_campaigns/campaigns/frontend_source_parallel_round74_20260613_1439/agent_shards/sub-fp8-addhyp-r74/evaluation_results.csv,,,,,,,,,,,,
sub-fp8-addhyp-r74,ex244,float_fp8,ex244_ex244_smallgap_key_gated_repo_yosys,,,,student/work/frontend_source_parallel_round74_20260613_1439/sub-fp8-addhyp-r74/ex244/ex244_smallgap_key_gated/verilog/ex244_smallgap_key_gated.v,student/work/frontend_source_parallel_round74_20260613_1439/sub-fp8-addhyp-r74/ex244/ex244_smallgap_key_gated/aigs/ex244_ex244_smallgap_key_gated_repo_yosys.aig,,student/work/frontend_source_parallel_round74_20260613_1439/sub-fp8-addhyp-r74/ex244/ex244_smallgap_key_gated/logs/ex244_ex244_smallgap_key_gated.evaluate.py.log,,1,340,46,15640,,,official evaluate.py OK; yosys_log=student/work/frontend_source_parallel_round74_20260613_1439/sub-fp8-addhyp-r74/ex244/ex244_smallgap_key_gated/logs/ex244_ex244_smallgap_key_gated.yosys.log; eval_sec=1.143; total_sec=1.847,student/frontend_campaigns/campaigns/frontend_source_parallel_round74_20260613_1439/agent_shards/sub-fp8-addhyp-r74/evaluation_results.csv,,,,,,,,,,,,
sub-fp8-addhyp-r74,ex244,float_fp8,ex244_ex244_case_increment_tail_repo_yosys,,,,student/work/frontend_source_parallel_round74_20260613_1439/sub-fp8-addhyp-r74/ex244/ex244_case_increment_tail/verilog/ex244_case_increment_tail.v,student/work/frontend_source_parallel_round74_20260613_1439/sub-fp8-addhyp-r74/ex244/ex244_case_increment_tail/aigs/ex244_ex244_case_increment_tail_repo_yosys.aig,,student/work/frontend_source_parallel_round74_20260613_1439/sub-fp8-addhyp-r74/ex244/ex244_case_increment_tail/logs/ex244_ex244_case_increment_tail.evaluate.py.log,,1,478,34,16252,,,official evaluate.py OK; yosys_log=student/work/frontend_source_parallel_round74_20260613_1439/sub-fp8-addhyp-r74/ex244/ex244_case_increment_tail/logs/ex244_ex244_case_increment_tail.yosys.log; eval_sec=1.300; total_sec=2.161,student/frontend_campaigns/campaigns/frontend_source_parallel_round74_20260613_1439/agent_shards/sub-fp8-addhyp-r74/evaluation_results.csv,,,,,,,,,,,,
sub-fp8-addhyp-r74,ex244,float_fp8,ex244_ex244_field_compare_key_gated_repo_yosys,,,,student/work/frontend_source_parallel_round74_20260613_1439/sub-fp8-addhyp-r74/ex244/ex244_field_compare_key_gated/verilog/ex244_field_compare_key_gated.v,student/work/frontend_source_parallel_round74_20260613_1439/sub-fp8-addhyp-r74/ex244/ex244_field_compare_key_gated/aigs/ex244_ex244_field_compare_key_gated_repo_yosys.aig,,student/work/frontend_source_parallel_round74_20260613_1439/sub-fp8-addhyp-r74/ex244/ex244_field_compare_key_gated/logs/ex244_ex244_field_compare_key_gated.evaluate.py.log,,1,336,44,14784,,,official evaluate.py OK; yosys_log=student/work/frontend_source_parallel_round74_20260613_1439/sub-fp8-addhyp-r74/ex244/ex244_field_compare_key_gated/logs/ex244_ex244_field_compare_key_gated.yosys.log; eval_sec=0.663; total_sec=1.092,student/frontend_campaigns/campaigns/frontend_source_parallel_round74_20260613_1439/agent_shards/sub-fp8-addhyp-r74/evaluation_results.csv,,,,,,,,,,,,
sub-fp8-addhyp-r74,ex244,float_fp8,ex244_ex244_field_compare_case_increment_repo_yosys,,,,student/work/frontend_source_parallel_round74_20260613_1439/sub-fp8-addhyp-r74/ex244/ex244_field_compare_case_increment/verilog/ex244_field_compare_case_increment.v,student/work/frontend_source_parallel_round74_20260613_1439/sub-fp8-addhyp-r74/ex244/ex244_field_compare_case_increment/aigs/ex244_ex244_field_compare_case_increment_repo_yosys.aig,,student/work/frontend_source_parallel_round74_20260613_1439/sub-fp8-addhyp-r74/ex244/ex244_field_compare_case_increment/logs/ex244_ex244_field_compare_case_increment.evaluate.py.log,,1,475,33,15675,,,official evaluate.py OK; yosys_log=student/work/frontend_source_parallel_round74_20260613_1439/sub-fp8-addhyp-r74/ex244/ex244_field_compare_case_increment/logs/ex244_ex244_field_compare_case_increment.yosys.log; eval_sec=0.579; total_sec=0.936,student/frontend_campaigns/campaigns/frontend_source_parallel_round74_20260613_1439/agent_shards/sub-fp8-addhyp-r74/evaluation_results.csv,,,,,,,,,,,,
sub-fp8-addhyp-r74,ex244,float_fp8,ex244_ex244_field_key_gated_case_increment_repo_yosys,,,,student/work/frontend_source_parallel_round74_20260613_1439/sub-fp8-addhyp-r74/ex244/ex244_field_key_gated_case_increment/verilog/ex244_field_key_gated_case_increment.v,student/work/frontend_source_parallel_round74_20260613_1439/sub-fp8-addhyp-r74/ex244/ex244_field_key_gated_case_increment/aigs/ex244_ex244_field_key_gated_case_increment_repo_yosys.aig,,student/work/frontend_source_parallel_round74_20260613_1439/sub-fp8-addhyp-r74/ex244/ex244_field_key_gated_case_increment/logs/ex244_ex244_field_key_gated_case_increment.evaluate.py.log,,1,492,41,20172,,,official evaluate.py OK; yosys_log=student/work/frontend_source_parallel_round74_20260613_1439/sub-fp8-addhyp-r74/ex244/ex244_field_key_gated_case_increment/logs/ex244_ex244_field_key_gated_case_increment.yosys.log; eval_sec=0.626; total_sec=0.989,student/frontend_campaigns/campaigns/frontend_source_parallel_round74_20260613_1439/agent_shards/sub-fp8-addhyp-r74/evaluation_results.csv,,,,,,,,,,,,
