case,variant,notes
ex238,core_boundary_low11_hi7,"special=semantic reciprocal_cube: exp<=8 signed inf, exp>=20/inf signed zero, NaN canonical; exp_delta_width=2; exp_delta_runs=4; exp_delta_max=3; mant_high=; low_width=10; nested_hi=7; boundary_low_width=11; nested_hi=7; const_buckets=127; explicit_items=1032; boundary_b14_runs=2; max=1; boundary_b13_runs=2; max=1; boundary_b12_runs=2; max=1; boundary_b11_runs=3; max=2"
ex238,core_boundary_low12_hi5,"special=semantic reciprocal_cube: exp<=8 signed inf, exp>=20/inf signed zero, NaN canonical; exp_delta_width=2; exp_delta_runs=4; exp_delta_max=3; mant_high=; low_width=10; nested_hi=5; boundary_low_width=12; nested_hi=5; const_buckets=31; explicit_items=1056; boundary_b14_runs=2; max=1; boundary_b13_runs=2; max=1; boundary_b12_runs=2; max=1"
ex238,core_boundary_low12_hi6,"special=semantic reciprocal_cube: exp<=8 signed inf, exp>=20/inf signed zero, NaN canonical; exp_delta_width=2; exp_delta_runs=4; exp_delta_max=3; mant_high=; low_width=10; nested_hi=6; boundary_low_width=12; nested_hi=6; const_buckets=63; explicit_items=1040; boundary_b14_runs=2; max=1; boundary_b13_runs=2; max=1; boundary_b12_runs=2; max=1"
ex238,core_boundary_low12_hi7,"special=semantic reciprocal_cube: exp<=8 signed inf, exp>=20/inf signed zero, NaN canonical; exp_delta_width=2; exp_delta_runs=4; exp_delta_max=3; mant_high=; low_width=10; nested_hi=7; boundary_low_width=12; nested_hi=7; const_buckets=127; explicit_items=1032; boundary_b14_runs=2; max=1; boundary_b13_runs=2; max=1; boundary_b12_runs=2; max=1"
ex238,core_boundary_low13_hi5,"special=semantic reciprocal_cube: exp<=8 signed inf, exp>=20/inf signed zero, NaN canonical; exp_delta_width=2; exp_delta_runs=4; exp_delta_max=3; mant_high=; low_width=10; nested_hi=5; boundary_low_width=13; nested_hi=5; const_buckets=31; explicit_items=1056; boundary_b14_runs=2; max=1; boundary_b13_runs=2; max=1"
ex238,core_boundary_low13_hi6,"special=semantic reciprocal_cube: exp<=8 signed inf, exp>=20/inf signed zero, NaN canonical; exp_delta_width=2; exp_delta_runs=4; exp_delta_max=3; mant_high=; low_width=10; nested_hi=6; boundary_low_width=13; nested_hi=6; const_buckets=63; explicit_items=1040; boundary_b14_runs=2; max=1; boundary_b13_runs=2; max=1"
ex238,core_boundary_low13_hi7,"special=semantic reciprocal_cube: exp<=8 signed inf, exp>=20/inf signed zero, NaN canonical; exp_delta_width=2; exp_delta_runs=4; exp_delta_max=3; mant_high=; low_width=10; nested_hi=7; boundary_low_width=13; nested_hi=7; const_buckets=127; explicit_items=1032; boundary_b14_runs=2; max=1; boundary_b13_runs=2; max=1"
ex238,core_boundary_low14_hi5,"special=semantic reciprocal_cube: exp<=8 signed inf, exp>=20/inf signed zero, NaN canonical; exp_delta_width=2; exp_delta_runs=4; exp_delta_max=3; mant_high=; low_width=10; nested_hi=5; boundary_low_width=14; nested_hi=5; const_buckets=31; explicit_items=1056; boundary_b14_runs=2; max=1"
ex238,core_boundary_low14_hi6,"special=semantic reciprocal_cube: exp<=8 signed inf, exp>=20/inf signed zero, NaN canonical; exp_delta_width=2; exp_delta_runs=4; exp_delta_max=3; mant_high=; low_width=10; nested_hi=6; boundary_low_width=14; nested_hi=6; const_buckets=63; explicit_items=1040; boundary_b14_runs=2; max=1"
ex238,core_boundary_low14_hi7,"special=semantic reciprocal_cube: exp<=8 signed inf, exp>=20/inf signed zero, NaN canonical; exp_delta_width=2; exp_delta_runs=4; exp_delta_max=3; mant_high=; low_width=10; nested_hi=7; boundary_low_width=14; nested_hi=7; const_buckets=127; explicit_items=1032; boundary_b14_runs=2; max=1"
